time,date,dealer_id,part_type,failure
84,2025-03-26,D00,type2,3
84,2025-03-26,D00,type3,1
85,2025-03-27,D00,type0,0
85,2025-03-27,D00,type1,4
85,2025-03-27,D00,type2,3
85,2025-03-27,D00,type3,1
86,2025-03-28,D00,type0,1
86,2025-03-28,D00,type1,0
86,2025-03-28,D00,type2,6
86,2025-03-28,D00,type3,1
87,2025-03-29,D00,type0,2
87,2025-03-29,D00,type1,5
87,2025-03-29,D00,type2,5
87,2025-03-29,D00,type3,2
88,2025-03-30,D00,type0,2
88,2025-03-30,D00,type1,1
88,2025-03-30,D00,type2,2
88,2025-03-30,D00,type3,0
89,2025-03-31,D00,type0,1
89,2025-03-31,D00,type1,1
89,2025-03-31,D00,type2,2
89,2025-03-31,D00,type3,2
90,2025-04-01,D00,type0,2
90,2025-04-01,D00,type1,1
90,2025-04-01,D00,type2,5
90,2025-04-01,D00,type3,4
91,2025-04-02,D00,type0,2
91,2025-04-02,D00,type1,1
91,2025-04-02,D00,type2,2
91,2025-04-02,D00,type3,1
92,2025-04-03,D00,type0,2
92,2025-04-03,D00,type1,1
92,2025-04-03,D00,type2,5
92,2025-04-03,D00,type3,0
93,2025-04-04,D00,type0,1
93,2025-04-04,D00,type1,1
93,2025-04-04,D00,type2,5
93,2025-04-04,D00,type3,4
94,2025-04-05,D00,type0,2
94,2025-04-05,D00,type1,1
94,2025-04-05,D00,type2,4
94,2025-04-05,D00,type3,2
95,2025-04-06,D00,type0,2
95,2025-04-06,D00,type1,0
95,2025-04-06,D00,type2,3
95,2025-04-06,D00,type3,1
96,2025-04-07,D00,type0,3
96,2025-04-07,D00,type1,2
96,2025-04-07,D00,type2,7
96,2025-04-07,D00,type3,2
97,2025-04-08,D00,type0,0
97,2025-04-08,D00,type1,2
97,2025-04-08,D00,type2,6
97,2025-04-08,D00,type3,1
98,2025-04-09,D00,type0,1
98,2025-04-09,D00,type1,3
98,2025-04-09,D00,type2,1
98,2025-04-09,D00,type3,3
99,2025-04-10,D00,type0,0
99,2025-04-10,D00,type1,1
99,2025-04-10,D00,type2,4
99,2025-04-10,D00,type3,2
100,2025-04-11,D00,type0,1
100,2025-04-11,D00,type1,3
100,2025-04-11,D00,type2,6
100,2025-04-11,D00,type3,0
101,2025-04-12,D00,type0,1
101,2025-04-12,D00,type1,0
101,2025-04-12,D00,type2,5
101,2025-04-12,D00,type3,1
102,2025-04-13,D00,type0,4
102,2025-04-13,D00,type1,3
102,2025-04-13,D00,type2,2
102,2025-04-13,D00,type3,2
103,2025-04-14,D00,type0,0
103,2025-04-14,D00,type1,2
103,2025-04-14,D00,type2,4
103,2025-04-14,D00,type3,1
104,2025-04-15,D00,type0,0
104,2025-04-15,D00,type1,1
104,2025-04-15,D00,type2,4
104,2025-04-15,D00,type3,2
105,2025-04-16,D00,type0,1
105,2025-04-16,D00,type1,1
105,2025-04-16,D00,type2,7
105,2025-04-16,D00,type3,0
106,2025-04-17,D00,type0,0
106,2025-04-17,D00,type1,0
106,2025-04-17,D00,type2,3
106,2025-04-17,D00,type3,0
107,2025-04-18,D00,type0,1
107,2025-04-18,D00,type1,2
107,2025-04-18,D00,type2,2
107,2025-04-18,D00,type3,0
108,2025-04-19,D00,type0,3
108,2025-04-19,D00,type1,1
108,2025-04-19,D00,type2,1
108,2025-04-19,D00,type3,3
109,2025-04-20,D00,type0,1
109,2025-04-20,D00,type1,1
109,2025-04-20,D00,type2,2
109,2025-04-20,D00,type3,2
110,2025-04-21,D00,type0,0
110,2025-04-21,D00,type1,4
110,2025-04-21,D00,type2,5
110,2025-04-21,D00,type3,0
111,2025-04-22,D00,type0,0
111,2025-04-22,D00,type1,5
111,2025-04-22,D00,type2,2
111,2025-04-22,D00,type3,1
112,2025-04-23,D00,type0,2
112,2025-04-23,D00,type1,5
112,2025-04-23,D00,type2,4
112,2025-04-23,D00,type3,0
113,2025-04-24,D00,type0,1
113,2025-04-24,D00,type1,1
113,2025-04-24,D00,type2,8
113,2025-04-24,D00,type3,3
114,2025-04-25,D00,type0,2
114,2025-04-25,D00,type1,2
114,2025-04-25,D00,type2,3
114,2025-04-25,D00,type3,3
115,2025-04-26,D00,type0,3
115,2025-04-26,D00,type1,1
115,2025-04-26,D00,type2,6
115,2025-04-26,D00,type3,1
116,2025-04-27,D00,type0,0
116,2025-04-27,D00,type1,0
116,2025-04-27,D00,type2,7
116,2025-04-27,D00,type3,2
117,2025-04-28,D00,type0,4
117,2025-04-28,D00,type1,2
117,2025-04-28,D00,type2,4
117,2025-04-28,D00,type3,1
118,2025-04-29,D00,type0,4
118,2025-04-29,D00,type1,0
118,2025-04-29,D00,type2,1
118,2025-04-29,D00,type3,0
119,2025-04-30,D00,type0,1
119,2025-04-30,D00,type1,1
119,2025-04-30,D00,type2,3
119,2025-04-30,D00,type3,1
120,2025-05-01,D00,type0,0
120,2025-05-01,D00,type1,2
120,2025-05-01,D00,type2,2
120,2025-05-01,D00,type3,1
121,2025-05-02,D00,type0,3
121,2025-05-02,D00,type1,2
121,2025-05-02,D00,type2,7
121,2025-05-02,D00,type3,1
122,2025-05-03,D00,type0,1
122,2025-05-03,D00,type1,1
122,2025-05-03,D00,type2,5
122,2025-05-03,D00,type3,1
123,2025-05-04,D00,type0,0
123,2025-05-04,D00,type1,1
123,2025-05-04,D00,type2,1
123,2025-05-04,D00,type3,1
124,2025-05-05,D00,type0,0
124,2025-05-05,D00,type1,2
124,2025-05-05,D00,type2,3
124,2025-05-05,D00,type3,1
125,2025-05-06,D00,type0,2
125,2025-05-06,D00,type1,2
125,2025-05-06,D00,type2,5
125,2025-05-06,D00,type3,1
126,2025-05-07,D00,type0,2
126,2025-05-07,D00,type1,1
126,2025-05-07,D00,type2,3
126,2025-05-07,D00,type3,1
127,2025-05-08,D00,type0,0
127,2025-05-08,D00,type1,0
127,2025-05-08,D00,type2,5
127,2025-05-08,D00,type3,2
128,2025-05-09,D00,type0,3
128,2025-05-09,D00,type1,1
128,2025-05-09,D00,type2,6
128,2025-05-09,D00,type3,2
129,2025-05-10,D00,type0,0
129,2025-05-10,D00,type1,0
129,2025-05-10,D00,type2,5
129,2025-05-10,D00,type3,1
130,2025-05-11,D00,type0,0
130,2025-05-11,D00,type1,1
130,2025-05-11,D00,type2,2
130,2025-05-11,D00,type3,3
131,2025-05-12,D00,type0,2
131,2025-05-12,D00,type1,2
131,2025-05-12,D00,type2,2
131,2025-05-12,D00,type3,2
132,2025-05-13,D00,type0,1
132,2025-05-13,D00,type1,1
132,2025-05-13,D00,type2,3
132,2025-05-13,D00,type3,2
133,2025-05-14,D00,type0,1
133,2025-05-14,D00,type1,1
133,2025-05-14,D00,type2,4
133,2025-05-14,D00,type3,4
134,2025-05-15,D00,type0,4
134,2025-05-15,D00,type1,1
134,2025-05-15,D00,type2,4
134,2025-05-15,D00,type3,2
135,2025-05-16,D00,type0,0
135,2025-05-16,D00,type1,3
135,2025-05-16,D00,type2,2
135,2025-05-16,D00,type3,2
136,2025-05-17,D00,type0,2
136,2025-05-17,D00,type1,3
136,2025-05-17,D00,type2,1
136,2025-05-17,D00,type3,3
137,2025-05-18,D00,type0,4
137,2025-05-18,D00,type1,3
137,2025-05-18,D00,type2,5
137,2025-05-18,D00,type3,0
138,2025-05-19,D00,type0,0
138,2025-05-19,D00,type1,1
138,2025-05-19,D00,type2,3
138,2025-05-19,D00,type3,1
139,2025-05-20,D00,type0,0
139,2025-05-20,D00,type1,1
139,2025-05-20,D00,type2,4
139,2025-05-20,D00,type3,0
140,2025-05-21,D00,type0,0
140,2025-05-21,D00,type1,0
140,2025-05-21,D00,type2,3
140,2025-05-21,D00,type3,2
141,2025-05-22,D00,type0,3
141,2025-05-22,D00,type1,3
141,2025-05-22,D00,type2,4
141,2025-05-22,D00,type3,2
142,2025-05-23,D00,type0,3
142,2025-05-23,D00,type1,0
142,2025-05-23,D00,type2,3
142,2025-05-23,D00,type3,0
143,2025-05-24,D00,type0,2
143,2025-05-24,D00,type1,2
143,2025-05-24,D00,type2,7
143,2025-05-24,D00,type3,1
144,2025-05-25,D00,type0,1
144,2025-05-25,D00,type1,2
144,2025-05-25,D00,type2,1
144,2025-05-25,D00,type3,0
145,2025-05-26,D00,type0,0
145,2025-05-26,D00,type1,0
145,2025-05-26,D00,type2,4
145,2025-05-26,D00,type3,1
146,2025-05-27,D00,type0,1
146,2025-05-27,D00,type1,1
146,2025-05-27,D00,type2,7
146,2025-05-27,D00,type3,0
147,2025-05-28,D00,type0,0
147,2025-05-28,D00,type1,0
147,2025-05-28,D00,type2,7
147,2025-05-28,D00,type3,1
148,2025-05-29,D00,type0,1
148,2025-05-29,D00,type1,4
148,2025-05-29,D00,type2,1
148,2025-05-29,D00,type3,1
149,2025-05-30,D00,type0,0
149,2025-05-30,D00,type1,0
149,2025-05-30,D00,type2,6
149,2025-05-30,D00,type3,1
150,2025-05-31,D00,type0,2
150,2025-05-31,D00,type1,1
150,2025-05-31,D00,type2,6
150,2025-05-31,D00,type3,1
151,2025-06-01,D00,type0,0
151,2025-06-01,D00,type1,0
151,2025-06-01,D00,type2,2
151,2025-06-01,D00,type3,0
152,2025-06-02,D00,type0,2
152,2025-06-02,D00,type1,0
152,2025-06-02,D00,type2,3
152,2025-06-02,D00,type3,1
153,2025-06-03,D00,type0,1
153,2025-06-03,D00,type1,1
153,2025-06-03,D00,type2,4
153,2025-06-03,D00,type3,2
154,2025-06-04,D00,type0,1
154,2025-06-04,D00,type1,2
154,2025-06-04,D00,type2,6
154,2025-06-04,D00,type3,0
155,2025-06-05,D00,type0,1
155,2025-06-05,D00,type1,3
155,2025-06-05,D00,type2,2
155,2025-06-05,D00,type3,0
156,2025-06-06,D00,type0,1
156,2025-06-06,D00,type1,5
156,2025-06-06,D00,type2,2
156,2025-06-06,D00,type3,1
157,2025-06-07,D00,type0,2
157,2025-06-07,D00,type1,1
157,2025-06-07,D00,type2,7
157,2025-06-07,D00,type3,3
158,2025-06-08,D00,type0,1
158,2025-06-08,D00,type1,1
158,2025-06-08,D00,type2,2
158,2025-06-08,D00,type3,0
159,2025-06-09,D00,type0,0
159,2025-06-09,D00,type1,4
159,2025-06-09,D00,type2,3
159,2025-06-09,D00,type3,1
160,2025-06-10,D00,type0,5
160,2025-06-10,D00,type1,0
160,2025-06-10,D00,type2,2
160,2025-06-10,D00,type3,0
161,2025-06-11,D00,type0,1
161,2025-06-11,D00,type1,2
161,2025-06-11,D00,type2,3
161,2025-06-11,D00,type3,4
162,2025-06-12,D00,type0,0
162,2025-06-12,D00,type1,2
162,2025-06-12,D00,type2,7
162,2025-06-12,D00,type3,1
163,2025-06-13,D00,type0,1
163,2025-06-13,D00,type1,2
163,2025-06-13,D00,type2,7
163,2025-06-13,D00,type3,2
164,2025-06-14,D00,type0,0
164,2025-06-14,D00,type1,1
164,2025-06-14,D00,type2,3
164,2025-06-14,D00,type3,2
165,2025-06-15,D00,type0,2
165,2025-06-15,D00,type1,3
165,2025-06-15,D00,type2,4
165,2025-06-15,D00,type3,1
166,2025-06-16,D00,type0,1
166,2025-06-16,D00,type1,2
166,2025-06-16,D00,type2,8
166,2025-06-16,D00,type3,0
167,2025-06-17,D00,type0,2
167,2025-06-17,D00,type1,1
167,2025-06-17,D00,type2,4
167,2025-06-17,D00,type3,0
168,2025-06-18,D00,type0,1
168,2025-06-18,D00,type1,2
168,2025-06-18,D00,type2,4
168,2025-06-18,D00,type3,0
169,2025-06-19,D00,type0,1
169,2025-06-19,D00,type1,3
169,2025-06-19,D00,type2,7
169,2025-06-19,D00,type3,2
170,2025-06-20,D00,type0,2
170,2025-06-20,D00,type1,2
170,2025-06-20,D00,type2,5
170,2025-06-20,D00,type3,1
171,2025-06-21,D00,type0,5
171,2025-06-21,D00,type1,9
171,2025-06-21,D00,type2,3
171,2025-06-21,D00,type3,0
172,2025-06-22,D00,type0,3
172,2025-06-22,D00,type1,3
172,2025-06-22,D00,type2,5
172,2025-06-22,D00,type3,2
173,2025-06-23,D00,type0,0
173,2025-06-23,D00,type1,3
173,2025-06-23,D00,type2,6
173,2025-06-23,D00,type3,0
174,2025-06-24,D00,type0,2
174,2025-06-24,D00,type1,3
174,2025-06-24,D00,type2,3
174,2025-06-24,D00,type3,0
175,2025-06-25,D00,type0,1
175,2025-06-25,D00,type1,2
175,2025-06-25,D00,type2,7
175,2025-06-25,D00,type3,2
176,2025-06-26,D00,type0,2
176,2025-06-26,D00,type1,2
176,2025-06-26,D00,type2,9
176,2025-06-26,D00,type3,1
177,2025-06-27,D00,type0,0
177,2025-06-27,D00,type1,4
177,2025-06-27,D00,type2,10
177,2025-06-27,D00,type3,1
178,2025-06-28,D00,type0,1
178,2025-06-28,D00,type1,5
178,2025-06-28,D00,type2,6
178,2025-06-28,D00,type3,1
179,2025-06-29,D00,type0,1
179,2025-06-29,D00,type1,2
179,2025-06-29,D00,type2,4
179,2025-06-29,D00,type3,2
180,2025-06-30,D00,type0,0
180,2025-06-30,D00,type1,4
180,2025-06-30,D00,type2,11
180,2025-06-30,D00,type3,0
181,2025-07-01,D00,type0,2
181,2025-07-01,D00,type1,6
181,2025-07-01,D00,type2,8
181,2025-07-01,D00,type3,2
182,2025-07-02,D00,type0,0
182,2025-07-02,D00,type1,3
182,2025-07-02,D00,type2,6
182,2025-07-02,D00,type3,1
183,2025-07-03,D00,type0,2
183,2025-07-03,D00,type1,7
183,2025-07-03,D00,type2,6
183,2025-07-03,D00,type3,0
184,2025-07-04,D00,type0,1
184,2025-07-04,D00,type1,4
184,2025-07-04,D00,type2,10
184,2025-07-04,D00,type3,0
185,2025-07-05,D00,type0,1
185,2025-07-05,D00,type1,4
185,2025-07-05,D00,type2,9
185,2025-07-05,D00,type3,1
186,2025-07-06,D00,type0,0
186,2025-07-06,D00,type1,5
186,2025-07-06,D00,type2,5
186,2025-07-06,D00,type3,3
187,2025-07-07,D00,type0,2
187,2025-07-07,D00,type1,2
187,2025-07-07,D00,type2,6
187,2025-07-07,D00,type3,0
188,2025-07-08,D00,type0,1
188,2025-07-08,D00,type1,2
188,2025-07-08,D00,type2,6
188,2025-07-08,D00,type3,3
189,2025-07-09,D00,type0,1
189,2025-07-09,D00,type1,2
189,2025-07-09,D00,type2,4
189,2025-07-09,D00,type3,0
190,2025-07-10,D00,type0,2
190,2025-07-10,D00,type1,1
190,2025-07-10,D00,type2,9
190,2025-07-10,D00,type3,1
191,2025-07-11,D00,type0,0
191,2025-07-11,D00,type1,2
191,2025-07-11,D00,type2,9
191,2025-07-11,D00,type3,1
192,2025-07-12,D00,type0,1
192,2025-07-12,D00,type1,2
192,2025-07-12,D00,type2,7
192,2025-07-12,D00,type3,1
193,2025-07-13,D00,type0,0
193,2025-07-13,D00,type1,5
193,2025-07-13,D00,type2,7
193,2025-07-13,D00,type3,1
194,2025-07-14,D00,type0,1
194,2025-07-14,D00,type1,4
194,2025-07-14,D00,type2,8
194,2025-07-14,D00,type3,2
195,2025-07-15,D00,type0,0
195,2025-07-15,D00,type1,1
195,2025-07-15,D00,type2,11
195,2025-07-15,D00,type3,0
196,2025-07-16,D00,type0,4
196,2025-07-16,D00,type1,3
196,2025-07-16,D00,type2,8
196,2025-07-16,D00,type3,4
197,2025-07-17,D00,type0,3
197,2025-07-17,D00,type1,1
197,2025-07-17,D00,type2,9
197,2025-07-17,D00,type3,3
198,2025-07-18,D00,type0,2
198,2025-07-18,D00,type1,3
198,2025-07-18,D00,type2,9
198,2025-07-18,D00,type3,1
199,2025-07-19,D00,type0,0
199,2025-07-19,D00,type1,4
199,2025-07-19,D00,type2,13
199,2025-07-19,D00,type3,1
200,2025-07-20,D00,type0,1
200,2025-07-20,D00,type1,3
200,2025-07-20,D00,type2,5
200,2025-07-20,D00,type3,0
201,2025-07-21,D00,type0,0
201,2025-07-21,D00,type1,2
201,2025-07-21,D00,type2,9
201,2025-07-21,D00,type3,1
202,2025-07-22,D00,type0,1
202,2025-07-22,D00,type1,7
202,2025-07-22,D00,type2,9
202,2025-07-22,D00,type3,1
203,2025-07-23,D00,type0,1
203,2025-07-23,D00,type1,2
203,2025-07-23,D00,type2,10
203,2025-07-23,D00,type3,0
204,2025-07-24,D00,type0,3
204,2025-07-24,D00,type1,8
204,2025-07-24,D00,type2,6
204,2025-07-24,D00,type3,1
205,2025-07-25,D00,type0,1
205,2025-07-25,D00,type1,3
205,2025-07-25,D00,type2,8
205,2025-07-25,D00,type3,1
206,2025-07-26,D00,type0,0
